El largo es: 8337



Ordenado por Inserción

hexarray[0] = 80000000
hexarray[1] = 80000000
hexarray[2] = 80000000
hexarray[3] = 80000000
hexarray[4] = 80000000
hexarray[5] = 80000000
hexarray[6] = 80000000
hexarray[7] = 80000000
hexarray[8] = 80000000
hexarray[9] = 80000000
hexarray[10] = 80000000
hexarray[11] = 80000000
hexarray[12] = 80000012
hexarray[13] = 80000030
hexarray[14] = 80000068
hexarray[15] = 8000006C
hexarray[16] = 800000C8
hexarray[17] = 80002E55
hexarray[18] = 8000BA16
hexarray[19] = 8030F500
hexarray[20] = 80320000
hexarray[21] = 8033ADA3
hexarray[22] = 80340000
hexarray[23] = 803E0000
hexarray[24] = 80720000
hexarray[25] = 807F6400
hexarray[26] = 80FD0000
hexarray[27] = 81000000
hexarray[28] = 81000000
hexarray[29] = 81000000
hexarray[30] = 81000000
hexarray[31] = 81000000
hexarray[32] = 81000000
hexarray[33] = 81000000
hexarray[34] = 81000000
hexarray[35] = 81000000
hexarray[36] = 81000000
hexarray[37] = 81000000
hexarray[38] = 81000000
hexarray[39] = 81000000
hexarray[40] = 81000000
hexarray[41] = 81000000
hexarray[42] = 81000054
hexarray[43] = 8100007B
hexarray[44] = 810000A3
hexarray[45] = 810AFC00
hexarray[46] = 8135F1DA
hexarray[47] = 8136F800
hexarray[48] = 81370000
hexarray[49] = 813C0000
hexarray[50] = 81AC2400
hexarray[51] = 81B2F300
hexarray[52] = 81C300C0
hexarray[53] = 81CB0000
hexarray[54] = 82000000
hexarray[55] = 82000000
hexarray[56] = 82000000
hexarray[57] = 82000000
hexarray[58] = 82000000
hexarray[59] = 82000000
hexarray[60] = 82000000
hexarray[61] = 8200000E
hexarray[62] = 8200005C
hexarray[63] = 820000A7
hexarray[64] = 820000FF
hexarray[65] = 82004DE8
hexarray[66] = 8200A396
hexarray[67] = 821B6600
hexarray[68] = 82346EA6
hexarray[69] = 82350000
hexarray[70] = 82360000
hexarray[71] = 8238B800
hexarray[72] = 824B6D00
hexarray[73] = 82566400
hexarray[74] = 829BF700
hexarray[75] = 82C86B00
hexarray[76] = 82CE0000
hexarray[77] = 82F76300
hexarray[78] = 83000000
hexarray[79] = 83000000
hexarray[80] = 83000000
hexarray[81] = 83000000
hexarray[82] = 83000000
hexarray[83] = 83000000
hexarray[84] = 83000000
hexarray[85] = 83000000
hexarray[86] = 83000000
hexarray[87] = 83000000
hexarray[88] = 83000000
hexarray[89] = 83000028
hexarray[90] = 8300002C
hexarray[91] = 8300005C
hexarray[92] = 8300006D
hexarray[93] = 8300006E
hexarray[94] = 830000AE
hexarray[95] = 830000DF
hexarray[96] = 830013E3
hexarray[97] = 83005716
hexarray[98] = 8300B000
hexarray[99] = 8300D200
hexarray[100] = 8300E39F
hexarray[101] = 83236900
hexarray[102] = 83360000
hexarray[103] = 8371BE00
hexarray[104] = 83780000
hexarray[105] = 837A0000
hexarray[106] = 83826A00
hexarray[107] = 83C00000
hexarray[108] = 83C3BB00
hexarray[109] = 83C50000
hexarray[110] = 83C66D00
hexarray[111] = 83C7BA9C
hexarray[112] = 84000000
hexarray[113] = 84000000
hexarray[114] = 84000000
hexarray[115] = 84000000
hexarray[116] = 84000000
hexarray[117] = 84000000
hexarray[118] = 84000000
hexarray[119] = 84000000
hexarray[120] = 84000000
hexarray[121] = 84000000
hexarray[122] = 84000000
hexarray[123] = 84000000
hexarray[124] = 84000000
hexarray[125] = 8400001D
hexarray[126] = 8400003A
hexarray[127] = 84000066
hexarray[128] = 84000F00
hexarray[129] = 84002300
hexarray[130] = 84007F15
hexarray[131] = 842D0000
hexarray[132] = 84320000
hexarray[133] = 843B0000
hexarray[134] = 84700000
hexarray[135] = 84710000
hexarray[136] = 8473369B
hexarray[137] = 8499B400
hexarray[138] = 84CB0023
hexarray[139] = 84D1B500
hexarray[140] = 84D5B600
hexarray[141] = 84F0F700
hexarray[142] = 85000000
hexarray[143] = 85000000
hexarray[144] = 85000000
hexarray[145] = 85000000
